"no lo tiro, te lo regalo (sin condiciones)";"no lo tiro, te lo regalo (sin condiciones) gl"
"translate text";"Nolotiro.org is currently available in a few languages, but you can help us to translate it to your own language. Just choose it from the following list and filling the fields with the translated texts. You don't need to fill all the fields to submit the form, any help will be very appreciated.<br/><br/>If your language is not in the list, please contact us for adding it.<br/><br/>"
"BetaTranslation";"This language translation is in testing phase. If you find a missing or wrong translation, please report it <a href='%s'>here</a>."

#home
"last gifts published";"last gifts published"
"world's most recycling cities";"world's most recycling citiesn"
"most active users";"most active users"
"view more ads";"view more ads"

"Help us to translate nolotiro.org to your language";"Axuda a traducir nolotiro.org ao teu idioma"
"help to translate";"axuda a traducir"
"Location changed successfully to:";"Ubicación cambiada con éxito a:"

#dont change town or geoapi breaks (only search by Town)
"Town";"Town"
"Choose your location";"Elixe a túa ubicación"
"Choose your";"Elixe o teu / a túa"
"I can not connect to Yahoo geo service, sorry!";"Non podo conectar ao servizo de xeolocalización de Yahoo."
"No location found named:";"Non se atopou ningunha ubicación chamada"
"This location is not a valid town. Please, try again.";"Esa ubicación non é unha cidade válida. Por favor, inténtao de novo. "
"change location";"cambiar cidade"
"Change your location";"Cambia a túa cidade"
"Please, write your location";"Por favor, escribe a túa cidade"
"Location:";"Cidade: "
"give";"agasallo"
"want";"quero"
"Create new ad";"Publicar anuncio"
"View ads in";"Ver anuncios en"
"Posted on ";"Publicado o"
"by user ";"polo usuario"
"page";"páxina"
"second hand";"segunda man"
"new user";"novo usuario"
"New user"; "Novo usuario"
"or";"ou"
"hello,";"ola,"
"logout";"saír"
"login";"acceder"
"To start to publish ads or send private messages access to your account";"Para publicar anuncios ou enviar mensaxes accede á túa conta"
"second hand and news";"segunda man e novos"
"about";"acerca de"
"faqs";"preguntas frecuentes"
"developers";"desenvolvedores"
"contact";"contacto"
"terms of use";"termos de uso"
"privacy policy";"política de privacidade"
"All the ads";"Todos os anuncios"
"all the ads";"todos os anuncios"
"donate";"doar"
"facebook group";"grupo en facebook"

